id,monthly_income,monthly_savings,travel_expense,commute_expense,personal_expense,educational_expense,seasonal_expense,monthly_loans,goal,improvement,policies
1,65250,26730,16015,57481,98960,93318,90497,77492,7641968,commute,list6
2,326144,50047,90478,50976,63770,62454,79635,21385,6294593,travel,list5
3,194386,28827,97841,35541,85220,50724,61932,15745,1805998,commute,list6
4,72196,78180,99189,94359,29299,98875,55327,69034,9012212,travel,list1
5,397450,1609,36970,13180,31789,10981,85086,39413,2266999,educational,list2
6,469958,84952,53141,64698,11913,71696,57903,78473,7922044,seasonal,list3
7,320254,12840,89079,89183,54798,35025,53457,16618,7893027,commute,list4
8,475280,65107,70921,71604,93652,60769,64602,6611,5243034,travel,list7
9,23542,22219,94901,58408,51110,99895,32461,87716,8719919,educational,list7
10,407019,29019,80272,38096,63639,63375,26332,11511,187735,seasonal,list4
11,100105,84323,69719,47213,35438,56568,51580,38641,423165,personal,list3
12,308734,45849,74304,89960,16467,97960,19593,42454,7210929,commute,list4
13,478293,33076,16826,89884,13858,66810,45650,34601,1013152,personal,list7
14,125742,80435,77995,64138,86465,90300,50484,8133,2442344,travel,list5
15,494769,66045,78077,90465,53905,45602,87619,90539,9763084,personal,list3
16,91834,4827,28833,62685,63739,35902,14066,94182,5551996,travel,list4
17,107143,23744,90239,20285,68780,53275,89887,23757,9087150,commute,list1
18,472332,74549,25632,76866,29010,30758,50461,21880,3793940,travel,list2
19,493825,41202,78911,456,62166,94465,33143,76550,9356359,seasonal,list5
20,376307,31853,74502,92933,46055,58051,74872,96047,2799827,commute,list3
21,51913,23345,95272,47022,44062,7548,84118,71255,7127123,commute,list1
22,440722,9480,37532,73516,70750,96632,38660,93407,2979303,educational,list5
23,107661,39238,16543,12186,88377,4224,47895,12512,4244778,personal,list3
24,352629,74905,61738,10455,78228,44781,26862,78488,9459553,commute,list6
25,259229,81064,53402,2607,42285,4688,26829,75528,603970,educational,list7
26,109513,86098,64865,98922,10519,92085,5900,86591,2009625,educational,list2
27,256926,51560,29388,40364,65092,3509,91333,12912,5471225,travel,list4
28,243688,66518,46931,21568,47239,95664,97103,44577,4026766,personal,list1
29,15193,18033,29570,17501,55063,57543,68173,32668,8098686,personal,list4
30,71526,65977,96040,92562,87800,31620,64240,63054,3895854,seasonal,list1
31,139994,3219,93715,68081,83283,58101,16080,21975,9937702,educational,list7
32,156170,28239,22107,63402,55176,30112,60172,30841,5715480,personal,list4
33,472648,28580,83713,38726,78150,35880,11145,23885,3036769,travel,list2
34,491953,99251,9216,15070,81730,795,33283,82323,1795235,educational,list4
35,171881,62137,89010,19160,95663,99975,79763,80371,9621210,personal,list4
36,217072,65810,37553,70135,13640,11792,33425,21949,713121,commute,list4
37,13824,78875,83615,17259,26071,62324,77104,24206,126970,seasonal,list6
38,27146,90244,33485,84736,28350,777,89991,69639,7929763,educational,list1
39,139462,60812,29546,4767,85412,86941,65888,22829,78286,educational,list2
40,389202,44038,81254,89321,94342,13292,28010,52497,700274,travel,list1
41,86039,49499,54795,9706,53274,28952,18731,72208,9856623,seasonal,list1
42,210883,38621,91925,21058,91824,28437,78079,34495,4823379,educational,list5
43,61956,24911,77795,44815,96407,26788,18218,28871,9143728,commute,list2
44,117019,19946,97118,88365,38849,85245,60812,33470,7328243,personal,list3
45,312799,9215,47990,10642,28570,24784,65168,37826,8320021,educational,list6
46,287523,63773,41383,35631,35207,59885,27904,28194,2739178,commute,list7
47,194257,28956,65071,40737,59661,32768,22125,32210,5343595,seasonal,list3
48,286107,95005,74722,50111,83946,71232,11579,90133,9557674,personal,list6
49,55205,5976,32311,12058,98188,57206,17227,28813,2013939,personal,list4
50,429204,93664,97658,14404,34262,91084,81500,39539,4342632,travel,list1
51,353388,24642,59971,26990,42876,33685,94169,13938,4823624,personal,list7
52,195919,48412,78441,99663,89005,70474,21572,84548,8255337,educational,list4
53,492623,84601,54570,89814,52459,71658,55847,41195,2943089,personal,list6
54,169129,64101,9689,51866,31852,31205,70412,39100,7738093,seasonal,list5
55,246364,66729,6199,59404,29437,10591,99307,1799,9085782,educational,list1
56,306993,24420,41025,57838,97270,71440,52821,72419,8357641,educational,list3
57,395214,43202,74208,90469,30111,96779,61197,86844,6081150,personal,list4
58,368594,27238,98666,73228,7049,9828,75845,75705,5209962,commute,list1
59,261535,97732,5017,54603,45952,88029,46216,19316,3993951,seasonal,list7
60,209419,75722,99512,73006,30111,84523,39158,10632,4502115,educational,list7
61,370468,43698,31314,84503,75801,33860,29055,19415,8913540,personal,list2
62,258737,43894,69821,53669,83701,93385,81891,10229,4425650,seasonal,list7
63,67764,90895,572,78344,77679,70069,51676,12997,5788513,seasonal,list7
64,154266,80324,28333,55771,86331,66835,77573,97973,4102971,commute,list6
65,141263,22523,16683,11846,37560,46586,4257,99664,4042533,educational,list2
66,166883,50184,14007,10316,94263,30196,21432,97735,781681,seasonal,list3
67,110821,29598,34617,94627,33273,53312,88158,92329,7178818,personal,list3
68,44588,36182,9897,44656,25297,43249,60092,96895,7195199,personal,list4
69,272623,45775,440,31212,3391,67870,20959,89168,5354222,educational,list1
70,78659,91166,96420,82903,71546,46029,27473,28751,3006418,seasonal,list2
71,204549,52634,17755,38771,84066,53290,57920,92440,4617742,personal,list5
72,38456,69223,88027,90708,12130,29796,49551,27643,3126435,commute,list7
73,361740,83896,43580,46037,45349,3016,63167,94261,8019443,personal,list5
74,23328,25422,13189,84546,74451,24262,44685,9881,1279027,personal,list3
75,183323,26692,26307,58950,76106,19200,82380,70021,2052135,commute,list4
76,286853,64316,54094,20054,47133,44848,70298,5957,3439319,commute,list4
77,138389,24099,77483,63505,10004,44057,21643,45528,544814,travel,list7
78,376588,64818,7790,39811,21431,8866,87872,17357,1720659,commute,list4
79,280042,14022,54331,69470,8998,29515,9261,68928,3791872,travel,list2
80,195727,96044,11113,4462,75786,62386,60538,37536,746361,educational,list5
